SID,Run,SampleID,URL,Age,Sex,DominantHand
S1_run1,run1,S1,https://osf.io/download/m8sfw,23,Male,Left
S1_run2,run2,S1,https://osf.io/download/635d3f7d40db72007754ef91,23,Male,Left
S1_run3,run3,S1,https://osf.io/download/635d3f7d40db72007754ef8f,23,Male,Left
S1_run4,run4,S1,https://osf.io/download/635d3f7d40db72007754ef8d,23,Male,Left
S1_run5,run5,S1,https://osf.io/download/635d3f7d40db72007754ef8b,23,Male,Left
S1_run6,run6,S1,https://osf.io/download/635d3f7d40db72007754ef89,23,Male,Left
S1_run7,run7,S1,https://osf.io/download/635d3f7d40db72007754ef87,23,Male,Left
S1_run8,run8,S1,https://osf.io/download/635d3f7d40db72007754ef85,23,Male,Left
S1_run9,run9,S1,https://osf.io/download/635d3f7d40db72007754ef83,23,Male,Left
S1_run10,run10,S1,https://osf.io/download/635d3f7d40db72007754ef81,23,Male,Left
S2_run1,run1,S2,https://osf.io/download/7kwqy,33,Male,Right
S2_run2,run2,S2,https://osf.io/download/65180657bd8f6703507608bd,33,Male,Right
S2_run3,run3,S2,https://osf.io/download/65180657bd8f6703507608bb,33,Male,Right
S2_run4,run4,S2,https://osf.io/download/65180657bd8f6703507608b9,33,Male,Right
S2_run5,run5,S2,https://osf.io/download/65180657bd8f6703507608b7,33,Male,Right
S2_run6,run6,S2,https://osf.io/download/65180657bd8f6703507608b5,33,Male,Right
S2_run7,run7,S2,https://osf.io/download/65180657bd8f6703507608b3,33,Male,Right
S2_run8,run8,S2,https://osf.io/download/65180657bd8f6703507608b1,33,Male,Right
S2_run9,run9,S2,https://osf.io/download/65180657bd8f6703507608af,33,Male,Right
S2_run10,run10,S2,https://osf.io/download/65180657bd8f6703507608ad,33,Male,Right
S3_run1,run1,S3,https://osf.io/download/651807254dbc170356e9c7af,27,Male,Right
S3_run2,run2,S3,https://osf.io/download/651807254dbc170356e9c7ad,27,Male,Right
S3_run3,run3,S3,https://osf.io/download/651807254dbc170356e9c7ab,27,Male,Right
S3_run4,run4,S3,https://osf.io/download/651807254dbc170356e9c7a9,27,Male,Right
S3_run5,run5,S3,https://osf.io/download/651807254dbc170356e9c7a7,27,Male,Right
S3_run6,run6,S3,https://osf.io/download/651807254dbc170356e9c7a5,27,Male,Right
S3_run7,run7,S3,https://osf.io/download/651807254dbc170356e9c7a3,27,Male,Right
S3_run8,run8,S3,https://osf.io/download/651807254dbc170356e9c7a1,27,Male,Right
S3_run9,run9,S3,https://osf.io/download/651807254dbc170356e9c79f,27,Male,Right
S3_run10,run10,S3,https://osf.io/download/651807254dbc170356e9c79d,27,Male,Right
S4_run1,run1,S4,https://osf.io/download/64c51399a76ba400450ca1ac,20,Male,Right
S4_run2,run2,S4,https://osf.io/download/64c51399a76ba400450ca1aa,20,Male,Right
S4_run3,run3,S4,https://osf.io/download/64c51399a76ba400450ca1a8,20,Male,Right
S4_run4,run4,S4,https://osf.io/download/64c51399a76ba400450ca1a6,20,Male,Right
S4_run5,run5,S4,https://osf.io/download/fqbt8,20,Male,Right
S4_run6,run6,S4,https://osf.io/download/64c51399a76ba400450ca1a3,20,Male,Right
S4_run7,run7,S4,https://osf.io/download/64c51399a76ba400450ca1a1,20,Male,Right
S4_run8,run8,S4,https://osf.io/download/64c51399a76ba400450ca19f,20,Male,Right
S4_run9,run9,S4,https://osf.io/download/64c51399a76ba400450ca19d,20,Male,Right
S4_run10,run10,S4,https://osf.io/download/64c51399a76ba400450ca19b,20,Male,Right
S5_run1,run1,S5,https://osf.io/download/u8kb9,23,Female,Right
S5_run2,run2,S5,https://osf.io/download/6518083c50e56f033e67dde3,23,Female,Right
S5_run3,run3,S5,https://osf.io/download/6518083c50e56f033e67dde1,23,Female,Right
S5_run4,run4,S5,https://osf.io/download/6518083c50e56f033e67dddf,23,Female,Right
S5_run5,run5,S5,https://osf.io/download/6518083c50e56f033e67dddd,23,Female,Right
S5_run6,run6,S5,https://osf.io/download/6518083c50e56f033e67dddb,23,Female,Right
S5_run7,run7,S5,https://osf.io/download/6518083c50e56f033e67ddd9,23,Female,Right
S5_run8,run8,S5,https://osf.io/download/6518083c50e56f033e67ddd7,23,Female,Right
S5_run9,run9,S5,https://osf.io/download/6518083c50e56f033e67ddd5,23,Female,Right
S5_run10,run10,S5,https://osf.io/download/6518083c50e56f033e67ddd3,23,Female,Right
